Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
39996759,A Philosophy of Software Design,John Ousterhout,"Ousterhout, John",,"=""1732102201""","=""9781732102200""",0,4.21,Yaknyam Press,Paperback,190,2018,2018,,2023/11/24,"to-read, computer-science","to-read (#948), computer-science (#18)",to-read,,,,0,0
15014,Crucial Conversations: Tools for Talking When Stakes are High,Kerry Patterson,"Patterson, Kerry","Stephen R. Covey, Joseph Grenny, Ron McMillan, Al Switzler","=""0071401946""","=""9780071401944""",0,4.07,McGraw-Hill,Paperback,240,2002,2002,,2023/11/24,to-read,to-read (#947),to-read,,,,0,0
193379897,Foundry,Eliot Peper,"Peper, Eliot",,"=""1735016527""","=""9781735016528""",0,3.98,Eliot Peper,Hardcover,248,2023,,,2023/11/12,to-read,to-read (#945),to-read,,,,0,0
28204534,"Paper Girls, Volume 1",Brian K. Vaughan,"Vaughan, Brian K.","Cliff Chiang, Matt Wilson, Jared K. Fletcher","=""1632156741""","=""9781632156747""",0,3.89,Image Comics,Paperback,144,2016,2016,,2023/11/09,"to-read, comics","to-read (#944), comics (#7)",to-read,,,,0,0
1032758,The Practice of Programming (Addison-Wesley Professional Computing Series),Brian W. Kernighan,"Kernighan, Brian W.",Rob Pike,"=""020161586X""","=""9780201615869""",0,4.12,Addison-Wesley,Paperback,288,1999,1999,,2023/11/09,"to-read, computer-science","to-read (#943), computer-science (#17)",to-read,,,,0,0
32148570,Before We Were Yours,Lisa Wingate,"Wingate, Lisa",,"=""0425284689""","=""9780425284681""",4,4.40,Ballantine Books,Hardcover,342,2017,2017,2023/10/31,2023/10/31,"history, book-club-pager","history (#34), book-club-pager (#2)",read,,,,1,0
36434,Touched with Fire: Manic-Depressive Illness and the Artistic Temperament,Kay Redfield Jamison,"Jamison, Kay Redfield",,"=""068483183X""","=""9780684831831""",0,4.03,Free Press,Paperback,384,1996,1993,,2023/10/28,to-read,to-read (#942),to-read,,,,0,0
11162736,The Sum of My Parts: A Survivor's Story of Dissociative Identity Disorder,Olga Trujillo,"Trujillo, Olga",,"=""1572249919""","=""9781572249912""",0,4.49,New Harbinger Publications,Paperback,256,2011,2007,,2023/10/28,to-read,to-read (#941),to-read,,,,0,0
61337597,"The House Witch 1 (The House Witch, #1)",Delemhach,"Delemhach, Delemhach",,"=""1039410243""","=""9781039410244""",0,4.17,Podium Publishing,Kindle Edition,658,2022,2022,,2023/10/21,to-read,to-read (#940),to-read,,,,0,0
534108,Toxic In-Laws: Loving Strategies for Protecting Your Marriage,Susan Forward,"Forward, Susan",Donna Frazier,"=""""","=""""",0,4.17,HarperCollins Publishers Inc.,Paperback,304,2002,2001,,2023/10/21,to-read,to-read (#939),to-read,,,,0,0
40589799,Doing Life with Your Adult Children: Keep Your Mouth Shut and the Welcome Mat Out,Jim Burns,"Burns, Jim",,"=""0310353777""","=""9780310353775""",0,4.15,Zondervan,Paperback,192,2019,,,2023/10/19,to-read,to-read (#938),to-read,,,,0,0
32729260,"The Green Mysteries | A R C A N A ✠ V I R I D I A |  A Granary of the Fauns, Being an Occult Herbarium",Daniel Schulke,"Schulke, Daniel","Benjamin Vierling, Gail Coppock","=""""","=""""",0,4.50,Three Hands Press,Hardcover,476,2022,,,2023/10/18,to-read,to-read (#937),to-read,,,,0,0
60033201,North to Paradise,Ousman Umar,"Umar, Ousman",Kevin Gerry Dunn,"=""1542030129""","=""9781542030120""",5,4.27,Amazon Crossing,Kindle Edition,142,2022,2019,2023/10/09,2023/04/02,memoir,memoir (#34),read,,,,1,0
248603,The Stone and the Flute,Hans Bemmann,"Bemmann, Hans",Anthea Bell,"=""0140074457""","=""9780140074451""",0,4.07,Penguin Books,Paperback,864,1987,1983,,2023/10/08,to-read,to-read (#936),to-read,,,,0,0
18693771,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk,"Kolk, Bessel van der",,"=""0670785938""","=""9780670785933""",0,4.39,Viking,Hardcover,464,2014,2014,,2023/10/06,to-read,to-read (#935),to-read,,,,0,0
13629,The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,"Jr., Frederick P. Brooks",,"=""0201835959""","=""9780201835953""",0,4.01,Addison-Wesley Professional,Paperback,322,1995,1975,,2023/10/06,to-read,to-read (#934),to-read,,,,0,0
43908989,"The Most Spectacular Restaurant in the World: The Twin Towers, Windows on the World, and the Rebirth of New York",Tom Roston,"Roston, Tom",,"=""1419737996""","=""9781419737992""",0,4.08,Harry N. Abrams,Hardcover,352,2019,2019,,2023/10/02,to-read,to-read (#933),to-read,,,,0,0
